company,valuation,date_joined,year_joined,industry,city,country,continent,year_founded,funding,select_investors
Bytedance,180000000000,07/04/2017,2017,Artificial intelligence,Beijing,China,Asia,2012,8000000000,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group"
SpaceX,100000000000,01/12/2012,2012,Other,Hawthorne,United States,North America,2002,7000000000,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures"
SHEIN,100000000000,03/07/2018,2018,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2008,2000000000,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners"
Stripe,95000000000,23/01/2014,2014,Fintech,San Francisco,United States,North America,2010,2000000000,"Khosla Ventures, LowercaseCapital, capitalG"
Klarna,46000000000,12/12/2011,2011,Fintech,Stockholm,Sweden,Europe,2005,4000000000,"Institutional Venture Partners, Sequoia Capital, General Atlantic"
Canva,40000000000,08/01/2018,2018,Internet software & services,Surry Hills,Australia,Oceania,2012,572000000,"Sequoia Capital China, Blackbird Ventures, Matrix Partners"
Checkout.com,40000000000,02/05/2019,2019,Fintech,London,United Kingdom,Europe,2012,2000000000,"Tiger Global Management, Insight Partners, DST Global"
Instacart,39000000000,30/12/2014,2014,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2012,3000000000,"Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund"
JUUL Labs,38000000000,20/12/2017,2017,Consumer & retail,San Francisco,United States,North America,2015,14000000000,Tiger Global Management
Databricks,38000000000,05/02/2019,2019,Data management & analytics,San Francisco,United States,North America,2013,3000000000,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures"
Revolut,33000000000,26/04/2018,2018,Fintech,London,United Kingdom,Europe,2015,2000000000,"index Ventures, DST Global, Ribbit Capital"
Epic Games,32000000000,26/10/2018,2018,Other,Cary,United States,North America,1991,7000000000,"Tencent Holdings, KKR, Smash Ventures"
FTX,32000000000,20/07/2021,2021,Fintech,,Bahamas,North America,2018,2000000000,"Sequoia Capital, Thoma Bravo, Softbank"
Fanatics,27000000000,06/06/2012,2012,E-commerce & direct-to-consumer,Jacksonville,United States,North America,2002,4000000000,"SoftBank Group, Andreessen Horowitz, Temasek Holdings"
Chime,25000000000,05/03/2019,2019,Fintech,San Francisco,United States,North America,2013,2000000000,"Forerunner Ventures, Crosslink Capital, Homebrew"
BYJU's,22000000000,25/07/2017,2017,Edtech,Bengaluru,India,Asia,2008,4000000000,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India"
J&T Express,20000000000,07/04/2021,2021,"Supply chain, logistics, & delivery",Jakarta,Indonesia,Asia,2015,5000000000,"Hillhouse Capital Management, Boyu Capital, Sequoia Capital China"
Xiaohongshu,20000000000,31/03/2016,2016,E-commerce & direct-to-consumer,Shanghai,China,Asia,2013,918000000,"GGV Capital, ZhenFund, Tencent"
Miro,18000000000,05/01/2022,2022,Internet software & services,San Francisco,United States,North America,2011,476000000,"Accel, AltaIR Capital, Technology Crossover Ventures"
Yuanfudao,17000000000,31/05/2017,2017,Edtech,Beijing,China,Asia,2012,4000000000,"Tencent Holdings, Warbug Pincus, IDG Capital"
Rapyd,15000000000,03/12/2019,2019,Fintech,London,United Kingdom,Europe,2016,770000000,"Target Global, General Catalyst, Durable Capital Partners"
Discord,15000000000,20/04/2018,2018,Internet software & services,San Francisco,United States,North America,2012,979000000,"Benchmark, Greylock Partners, Tencent Holdings"
